platform,rating,text,date,thumbsUp,reviewer
Just Eat,5,fast and easy service,2025-05-21 22:26:48,0,Micheal Lynch
Just Eat,1,Moved to a new address and will not add the address to the app. It keeps suggesting and forcing an incorrect address. There's a help option on the app but it only brings up the most recent order and irrelevant FAQs. The closest way of getting in touch is to leave a 1 star review it seems.,2025-05-21 01:19:05,3,Emile Quigley
Just Eat,1,"App is ok, works fine. the company is a joke though. astronomical delivery charges and whenever there's an issue they just tell u to call the restaurant or sometimes they get back to u about 3 days later. no bother taking the money straight away but if a refund is due you're waiting days.",2025-05-19 00:18:04,1,Dominic Oberoi
Just Eat,1,"The driver didn't find the address, so he left the order somewhere else, long wait to talk with someone in just eat, refund in the next 5 working days... happened twice...",2025-05-19 00:11:21,1,Rafał Małysiak
Just Eat,1,Its a grand app but they're always sending me promotions with money off and it doesn't work in the app at all. Something told me to try deleting the app and use it on the website. Turns out it works. So basically any discount or promo you get in an email does not work in this app which is ridiculous and annoying. Considering the 99c charge as well I'm more inclined to just call the place I'm ordering from and avoid this app altogether.,2025-05-17 20:09:54,4,Tuna Fish
Just Eat,2,would not let me use the voucher for 12 euro off firsr order thats bad,2025-05-17 19:49:51,0,Ciara
Just Eat,5,love it all food,2025-05-17 02:11:43,0,Emer Tobin
Just Eat,5,"I have used just eat for a while, so I have ordered from several kebab shops. The food from here is always of a good quality, hot, and delivered promptly. I'm happy to recommend.",2025-05-13 21:09:56,14,Muddyboy Crossaxel
Just Eat,1,"Was told my order was delivered when it wasn't, justeat told me that the order had been delivered to the wrong address! I didn't receive any call from the driver. I was provided a refund and had to reorder the meal and went to collect it myself.When I reordered I wasn't able to use the 20% off offer that had been available the first time so it was more expensive.You are expected to tip the driver before delivery and can't contact them after. bad app won't be bothered using again.",2025-05-12 21:21:28,5,Hannah Byrne
Just Eat,1,horrendous.. food never delivered even tho the says delivered .. was asked to check my front door for the order when it was never collected from the restaurant 😂😂,2025-05-11 21:35:15,0,Ken O'connor
Just Eat,1,"7/8 times I use the app, I fill out an order and it just doesn't work when I press the order button.",2025-05-07 20:56:28,1,Quinnthropy
Just Eat,3,good app. missed the collection toggle. please move it down and highlight it.,2025-05-03 21:08:03,1,lily murphy
Just Eat,1,This app is the worst app to order food from I ordered food from this app lots of times especially Burger King and there were incidents such as the driver arriving with either half eaten items or items completely missing from our order but today tops it all I told the driver my address and he for some stupid reason delivered my food to the wrong address I called the head office and asked them to send another order around but they said it wasn't possible and could only get a refund AVOID,2025-05-03 16:15:09,2,Elvedin
Just Eat,5,pay your worker better please... they are lovely,2025-05-03 03:25:20,0,Natalia Fernandez
Just Eat,4,Pizza okay. base a little soggy. Very quick delivery.,2025-05-03 00:34:42,0,Moon Shine
Just Eat,2,"service fee €2.99? and then €3.99 for delivery? service fee should be charged to the restaraunts for using the service, and not the users. So 7 euro on top of my 12 euro order? Absolute joke, I won't use that app ever again. Most restaurants have their own apps or orders through website, no ""service fees"", and cheap or free delivery service.",2025-05-03 00:18:57,5,Josip Sruk
Just Eat,1,very bad,2025-05-02 19:18:54,0,Celine Guildea
Just Eat,1,"Orders repeatedly cancelled or not processed without telling me, leaving me to call restaurants an hour later to find out. Horrific customer service, avoid and order direct from restaurants",2025-05-02 01:08:40,0,Ed Platt
Just Eat,1,"Always missing items, no matter from where.",2025-05-01 00:43:17,0,Nicola Molloy
Just Eat,5,Brilliant as always. Thanks again guys 😃,2025-04-30 16:14:00,0,Marie Sheahan
